,
Food Type,Emissions per kg
Beef (beef herd),60 
Lamb & Mutton,24 
Cheese,21 
Beef (dairy herd),21 
Chocolate,19 
Coffee,17 
Prawns (farmed),12 
Palm Oil,8 
Pig Meat,7 
Poultry Meat,6 
Olive Oil,6 
Fish (farmed),5 
Eggs,4.5 
Rice,4 
Fish (wild catch),3 
Milk,3 
Cane Sugar,3 
Groundnuts,2.5 
Wheat & Rye,1.4 
Tomatoes,1.4 
Maize (Corn),1.0 
Cassava,1.0 
Soymilk,0.9 
Peas,0.9 
Bananas,0.7 
Root Vegetables,0.4 
Apples,0.4 
Citrus Fruits,0.3 
Nuts,0.3 
